StCoFIPS,hw1_min_frequency,hw1_min_duration,hw1_min_intensity,hw1_mean_frequency,hw1_mean_duration,hw1_mean_intensity,hw1_max_frequency,hw1_max_duration,hw1_max_intensity,hw3_min_frequency,hw3_min_duration,hw3_min_intensity,hw3_mean_frequency,hw3_mean_duration,hw3_mean_intensity,hw3_max_frequency,hw3_max_duration,hw3_max_intensity,hw5_min_frequency,hw5_min_duration,hw5_min_intensity,hw5_mean_frequency,hw5_mean_duration,hw5_mean_intensity,hw5_max_frequency,hw5_max_duration,hw5_max_intensity
19189,88,1.8295454545454546,21.508002435064935,78,2.076923076923077,25.433522893772892,109,1.4954128440366972,30.487870685889035,17,4.117647058823529,21.907600840336134,18,4.444444444444445,25.96193253968254,11,4.090909090909091,31.072991341991344,6,5.666666666666667,22.251952380952382,7,5.857142857142857,26.23056462585034,4,5.75,31.136142857142858
19191,88,1.8295454545454546,21.367206168831167,74,2.2027027027027026,25.365793114543116,100,1.61,30.53835654761905,18,3.888888888888889,21.643841269841268,23,4.217391304347826,25.68146480331263,12,4.333333333333333,30.843804563492064,5,5.8,21.94582857142857,7,6.142857142857143,25.446955782312926,4,6.5,30.455997023809523
19193,81,1.9876543209876543,22.250966294336664,74,2.175675675675676,26.34842792792793,115,1.4,31.70866956521739,15,4.866666666666666,22.533217989417988,20,4.45,26.633183333333335,11,3.909090909090909,32.022,8,6.25,22.659992063492062,8,6.125,26.727958333333333,3,5.333333333333333,31.86122222222222
19195,88,1.8409090909090908,21.396313582251082,77,2.103896103896104,25.358799628942485,109,1.4770642201834863,30.399065749235476,18,4.055555555555555,21.764199735449736,22,4.136363636363637,25.716253246753247,13,3.6153846153846154,30.955628205128203,6,5.666666666666667,22.14190476190476,7,6,26.095605442176872,2,5.5,31.071166666666667
19197,88,1.8522727272727273,21.835472267316018,77,2.103896103896104,25.74119805194805,100,1.61,30.904843333333332,19,4.105263157894737,21.976397869674187,19,4.421052631578948,26.21090789473684,18,3.611111111111111,31.222185185185186,5,6.2,22.25147857142857,7,6.142857142857143,26.28675,3,5.333333333333333,31.243111111111112
20001,85,1.9176470588235295,23.512282531194295,69,2.347826086956522,27.389315044858524,103,1.5825242718446602,33.081923948220066,21,4.142857142857143,23.569953102453102,24,4.25,27.553239087301588,11,3.8181818181818183,33.16983333333334,6,6.333333333333333,23.64969696969697,9,5.888888888888889,27.59261904761905,2,5,33.667
20003,83,1.9397590361445782,23.37914457831325,63,2.5555555555555554,27.281210789871505,100,1.61,32.862118571428574,19,4.2105263157894735,23.505736842105264,23,4.695652173913044,27.442229554865424,15,3.7333333333333334,33.121457142857146,6,5.833333333333333,23.5615,9,6.888888888888889,27.46560515873016,3,6,33.473396825396826
20005,79,2.037974683544304,23.23390054249548,67,2.417910447761194,27.125300284292823,103,1.5631067961165048,32.51258090614887,17,4.647058823529412,23.36547899159664,20,4.95,27.341755952380954,15,3.933333333333333,32.487722222222224,7,6.142857142857143,23.39580612244898,9,6.777777777777778,27.40334656084656,2,6.5,32.21
20007,101,1.5940594059405941,22.580033946251767,83,1.963855421686747,26.464258366800536,125,1.288,32.02178514285714,15,4.066666666666666,22.778561904761904,18,4.444444444444445,26.657135802469135,5,4.6,32.06662857142857,3,5.666666666666667,22.717809523809525,6,6.666666666666667,26.83835185185185,3,5.666666666666667,32.294380952380955
20009,101,1.603960396039604,22.140959453088165,83,1.9397590361445782,26.01063186077644,123,1.3252032520325203,31.675409891598918,14,3.9285714285714284,22.299064625850342,17,4.529411764705882,26.105437908496732,6,4,31.495069444444443,4,5.5,22.037142857142857,6,6.833333333333333,26.25735185185185,1,8,32.10125
